DataTableID,Code,Direction,Measured,Key_driver,Comment
1092,14.1.2 (Indirect effect from illegal hunting/poaching),Negative,Speculated,No,
1331,14.1.2 (Indirect effect from illegal hunting/poaching),Negative,Speculated,No,
1104,14.1.2 (Indirect effect from illegal hunting/poaching),Negative,Speculated,No,
965,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
978,14.5.1 (Illegal targeting poison towards carnivore),Negative,Speculated,No,
1104,14.5.1 (Illegal targeting poison towards carnivore),Negative,Speculated,No,
1038,14.5.1 (Illegal targeting poison towards carnivore),Negative,Speculated,No,
1017,13.1.3 (Legal persecution/control of carnivore),Negative,Speculated,No,
1010,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
1043,8.7 (Population effected by general disease),Negative,Speculated,No,
1287,8.7 (Population effected by general disease),Negative,Speculated,No,Parasite
1286,8.7 (Population effected by general disease),Negative,Speculated,No,Parasite
1285,8.7 (Population effected by general disease),Negative,Speculated,No,Parasite
1287,8.7 (Population effected by general disease),Negative,Speculated,No,Canine distemper virus
1285,8.7 (Population effected by general disease),Negative,Speculated,No,Canine distemper virus
1286,8.7 (Population effected by general disease),Negative,Speculated,No,Canine distemper virus
970,0.1 (habitat altered - not targeted restoration),Negative,Speculated,No,
978,0.2 (General fragmentation),Negative,Speculated,No,
978,15.5.2 (Low connectivity - Inbreeding possible),Negative,Speculated,No,
981,15.5.1 (Low connectivity in population),Negative,Speculated,No,
981,1.2 (Habitat industrialised),Negative,Speculated,No,
982,15.5.1 (Low connectivity in population),Negative,Speculated,No,
982,1.2 (Habitat industrialised),Negative,Speculated,No,
1010,14.5.1 (Illegal targeting poison towards carnivore),Negative,Speculated,No,
1010,0.2 (General fragmentation),Negative,Speculated,No,
1010,15.5.2 (Low connectivity - Inbreeding possible),Negative,Speculated,No,
1010,0.1 (habitat altered - not targeted restoration),Negative,Speculated,No,
1011,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
1011,14.5.1 (Illegal targeting poison towards carnivore),Negative,Speculated,No,
1011,0.2 (General fragmentation),Negative,Speculated,No,
1011,15.5.2 (Low connectivity - Inbreeding possible),Negative,Speculated,No,
1011,0.1 (habitat altered - not targeted restoration),Negative,Speculated,No,
1012,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
1012,14.5.1 (Illegal targeting poison towards carnivore),Negative,Speculated,No,
1012,0.2 (General fragmentation),Negative,Speculated,No,
1012,15.5.2 (Low connectivity - Inbreeding possible),Negative,Speculated,No,
1012,0.1 (habitat altered - not targeted restoration),Negative,Speculated,No,
1013,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
1013,14.5.1 (Illegal targeting poison towards carnivore),Negative,Speculated,No,
1013,0.2 (General fragmentation),Negative,Speculated,No,
1013,15.5.2 (Low connectivity - Inbreeding possible),Negative,Speculated,No,
1013,0.1 (habitat altered - not targeted restoration),Negative,Speculated,No,
1014,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
1014,14.5.1 (Illegal targeting poison towards carnivore),Negative,Speculated,No,
1014,0.2 (General fragmentation),Negative,Speculated,No,
1014,15.5.2 (Low connectivity - Inbreeding possible),Negative,Speculated,No,
1014,0.1 (habitat altered - not targeted restoration),Negative,Speculated,No,
1015,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
1015,14.5.1 (Illegal targeting poison towards carnivore),Negative,Speculated,No,
1015,0.2 (General fragmentation),Negative,Speculated,No,
1015,15.5.2 (Low connectivity - Inbreeding possible),Negative,Speculated,No,
1015,0.1 (habitat altered - not targeted restoration),Negative,Speculated,No,
1019,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1038,0.2 (General fragmentation),Negative,Speculated,No,
1130,15.1.6 (Low prey availability),Negative,Speculated,No,
1285,15.5.5 (No connectivity - Inbreeding possible),Negative,Speculated,No,
1286,15.5.5 (No connectivity - Inbreeding possible),Negative,Speculated,No,
1287,15.5.5 (No connectivity - Inbreeding possible),Negative,Speculated,No,
1167,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
1167,0.2 (General fragmentation),Negative,Speculated,No,
1167,14.1.2 (Indirect effect from illegal hunting/poaching),Negative,Speculated,No,
1359,13.1.3 (Legal persecution/control of carnivore),Negative,Speculated,No,HWC
1651,0.1 (habitat altered - not targeted restoration),Negative,Speculated,No,
1651,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1652,0.1 (habitat altered - not targeted restoration),Negative,Speculated,No,
1652,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1653,0.1 (habitat altered - not targeted restoration),Negative,Speculated,No,
1653,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1654,0.1 (habitat altered - not targeted restoration),Negative,Speculated,No,
1654,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1655,0.1 (habitat altered - not targeted restoration),Negative,Speculated,No,
1655,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1656,0.1 (habitat altered - not targeted restoration),Negative,Speculated,No,
1656,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1657,0.1 (habitat altered - not targeted restoration),Negative,Speculated,No,
1657,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1658,0.1 (habitat altered - not targeted restoration),Negative,Speculated,No,
1658,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1659,0.1 (habitat altered - not targeted restoration),Negative,Speculated,No,
1659,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1441,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,HWC
1441,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1442,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,HWC
1442,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1443,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,HWC
1443,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1444,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,HWC
1444,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1445,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,HWC
1445,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1446,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,HWC
1446,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1660,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,HWC
1660,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1661,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,HWC
1661,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1662,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,HWC
1662,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1663,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,HWC
1663,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1664,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,HWC
1664,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1665,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,HWC
1665,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1122,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1174,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1174,13.1.3 (Legal persecution/control of carnivore),Negative,Speculated,No,
1174,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1175,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1175,13.1.3 (Legal persecution/control of carnivore),Negative,Speculated,No,
1175,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1386,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1386,11.1 (Habitat shifts from climate change),Negative,Speculated,No,
1277,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1387,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1389,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1390,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1069,15.5.1 (Low connectivity in population),Negative,Speculated,No,
1069,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1670,8.7 (Population effected by general disease),Negative,Speculated,No,
1693,4.1.2 (Vehicle collisions),Negative,Speculated,No,
1693,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
1695,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1696,8.2 (Population effected by native disease),Negative,Speculated,No,
1700,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1704,15.5.2 (Low connectivity - Inbreeding possible),Negative,Speculated,No,
1704,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1705,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1705,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
1705,15.1.6 (Low prey availability),Negative,Speculated,No,
1706,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1706,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
1706,15.1.6 (Low prey availability),Negative,Speculated,No,
1709,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1719,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1721,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1722,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1723,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1729,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
1732,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
1739,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1738,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1752,15.1.6 (Low prey availability),Negative,Speculated,No,
1752,15.5.7 (Unspecified genetic threat),Negative,Speculated,No,
1752,8.2 (Population effected by native disease),Negative,Speculated,No,
1752,15.1.3 (High competition - within guild),Negative,Speculated,No,
1760,15.1.3 (High competition - within guild),Negative,Speculated,No,
1759,15.1.3 (High competition - within guild),Negative,Speculated,No,
1768,14.1 (General illegal hunting/poaching),Negative,Speculated,No,
1770,13.1.3 (Legal persecution/control of carnivore),Negative,Speculated,No,
1770,1.1 (Habitat urbanised),Negative,Speculated,No,
1769,13.1.3 (Legal persecution/control of carnivore),Negative,Speculated,No,
1769,1.1 (Habitat urbanised),Negative,Speculated,No,
1775,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1777,15.1.6 (Low prey availability),Negative,Speculated,No,
1777,8.7 (Population effected by general disease),Negative,Speculated,No,
1777,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1776,15.1.6 (Low prey availability),Negative,Speculated,No,
1776,8.7 (Population effected by general disease),Negative,Speculated,No,
1776,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1780,13.1.3 (Legal persecution/control of carnivore),Negative,Speculated,No,
1781,15.1.6 (Low prey availability),Negative,Speculated,No,
1782,15.4.1 (High emigration),Negative,Speculated,No,
1782,2.3 (Habitat altered for ranching),Negative,Speculated,No,
1782,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
1782,14.5 (Illegal poisoning of carnivore),Negative,Speculated,No,
1782,4.1 (Road & railroads generally),Negative,Speculated,No,
1783,15.1.3 (High competition - within guild),Negative,Speculated,No,
1783,8.2 (Population effected by native disease),Negative,Speculated,No,
1786,8.1 (Population effected by invasive disease),Negative,Speculated,No,
1787,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1786,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1785,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1789,15.1.6 (Low prey availability),Negative,Speculated,No,
1789,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1796,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
1807,8.6 (Population effected by unknown disease),Negative,Speculated,No,
1807,14.5.1 (Illegal targeting poison towards carnivore),Negative,Speculated,No,
1809,15.5.7 (Unspecified genetic threat),Negative,Speculated,No,
1809,0.1 (habitat altered - not targeted restoration),Negative,Speculated,No,
1814,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
1817,15.5.7 (Unspecified genetic threat),Negative,Speculated,No,
1881,14.1.2 (Indirect effect from illegal hunting/poaching),Negative,Speculated,No,
1883,9.1 (Population/Habitat effected by domestic waste),Negative,Speculated,No,
1883,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
1883,13.1.3 (Legal persecution/control of carnivore),Negative,Speculated,No,
1883,6.4.1 (Increased human activity/disturbance),Negative,Speculated,No,
1890,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
1889,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
1892,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1893,4.1.2 (Vehicle collisions),Negative,Speculated,No,
1903,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1904,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
1904,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1905,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
1905,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1906,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
1906,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1907,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
1907,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1908,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
1908,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1909,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
1909,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1910,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
1910,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1911,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
1911,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1912,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
1912,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1922,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1931,15.1.3 (High competition - within guild),Negative,Speculated,No,
1948,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1947,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1946,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1945,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1949,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,More hunting than South Finalnd
1950,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1953,13.1.3 (Legal persecution/control of carnivore),Negative,Speculated,No,
1952,13.1.3 (Legal persecution/control of carnivore),Negative,Speculated,No,
1951,13.1.3 (Legal persecution/control of carnivore),Negative,Speculated,No,
1974,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1973,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1972,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1971,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1970,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1969,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1968,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1967,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1966,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1987,15.1.3 (High competition - within guild),Negative,Speculated,No,
2022,0.1 (habitat altered - not targeted restoration),Negative,Speculated,No,
2029,0.1 (habitat altered - not targeted restoration),Negative,Speculated,No,
2041,15.1.6 (Low prey availability),Negative,Speculated,No,
2059,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2060,13.1.3 (Legal persecution/control of carnivore),Negative,Speculated,No,
2061,13.1.3 (Legal persecution/control of carnivore),Negative,Speculated,No,
2062,13.1.3 (Legal persecution/control of carnivore),Negative,Speculated,No,
2064,13.1.3 (Legal persecution/control of carnivore),Negative,Speculated,No,
2067,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
2074,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
2075,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
2081,4.1.2 (Vehicle collisions),Negative,Speculated,No,
2081,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
2081,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
2080,4.1.2 (Vehicle collisions),Negative,Speculated,No,
2080,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
2080,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
2079,4.1.2 (Vehicle collisions),Negative,Speculated,No,
2079,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
2079,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
2078,4.1.2 (Vehicle collisions),Negative,Speculated,No,
2078,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
2078,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
2083,8.7 (Population effected by general disease),Negative,Speculated,No,
2084,8.7 (Population effected by general disease),Negative,Speculated,No,
2087,15.1.6 (Low prey availability),Negative,Speculated,No,
2089,0.1 (habitat altered - not targeted restoration),Negative,Speculated,No,
2089,11.5 (Population/Habitat effected by unspecified climate change),Negative,Speculated,No,
2095,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2182,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2183,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2186,13.1.2 (Indirect effect from legal hunting),Negative,Speculated,No,
2203,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2208,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
2208,15.1.5 (High competition - no reason),Negative,Speculated,No,
2215,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2217,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2218,13.1.3 (Legal persecution/control of carnivore),Negative,Speculated,No,
2219,13.1.3 (Legal persecution/control of carnivore),Negative,Speculated,No,
2221,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2240,15.1.6 (Low prey availability),Negative,Speculated,No,
2240,15.5.1 (Low connectivity in population),Negative,Speculated,No,
2258,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
2262,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
2264,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2265,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2265,13.1.3 (Legal persecution/control of carnivore),Negative,Speculated,No,
2265,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
2267,15.1.5 (High competition - no reason),Negative,Speculated,No,
2267,15.5.4 (No connectivity in population),Negative,Speculated,No,
2270,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2269,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2273,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2273,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
2276,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2280,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2281,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2282,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2283,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2284,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2285,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2286,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2287,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2288,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2289,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2290,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2291,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2292,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2293,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2294,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2295,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2296,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
965,15.1.6 (Low prey availability),Negative,Speculated,No,
1070,15.5.4 (No connectivity in population),Negative,Speculated,No,
1778,14.1.3 (Illegal persecution/control of carnivore),Negative,Speculated,No,
1778,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
2038,1.2 (Habitat industrialised),Negative,Speculated,No,
2039,1.2 (Habitat industrialised),Negative,Speculated,No,
2311,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
2311,0.1 (habitat altered - not targeted restoration),Negative,Speculated,No,
2313,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2316,13.1.3 (Legal persecution/control of carnivore),Negative,Speculated,No,
2319,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2320,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2320,8.6 (Population effected by unknown disease),Negative,Speculated,No,
2321,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
2321,8.6 (Population effected by unknown disease),Negative,Speculated,No,
2322,15.1.6 (Low prey availability),Negative,Speculated,No,
1787,1.1 (Habitat urbanised),Positive,Speculated,No,
964,1.1 (Protected area),Positive,Speculated,No,
965,1.1 (Protected area),Positive,Speculated,No,
981,1.1 (Protected area),Positive,Speculated,No,
982,1.1 (Protected area),Positive,Speculated,No,
1019,1.1 (Protected area),Positive,Proxy estimate,No,
1042,1.1 (Protected area),Positive,Speculated,No,
1043,1.1 (Protected area),Positive,Speculated,No,
1044,1.1 (Protected area),Positive,Speculated,No,
1045,1.1 (Protected area),Positive,Speculated,No,
1046,1.1 (Protected area),Positive,Speculated,No,
1057,1.1 (Protected area),Positive,Speculated,No,
