Year,Title,Citation_key,Category,From_Syst/Unsyst_search,Comment
2017,Survival and population size estimates of the red wolf,Hinton2017417,Read - Data available,2,
2012,Demographic history of an elusive carnivore: Using museums to inform management,Holbrook2012619,Read - Data available,2,
2007,Evaluation of predator numerical responses,Hone2007335,Read - Data available,2,
2012,The impact of a pathogenic bacterium on a social carnivore population,Honer201236,Read - Data available,2,
2011,"Long-term monitoring of large rainforest mammals in the Biosphere Reserve of Taï National Park, Côte d'Ivoire",HoppeDominik2011450,Read - Data available,2,
2009,Demographic consequences of anthropogenic influences: Florida black bears in north-central Florida,Hostetler20092456,Read - Data available,2,
2013,A cat's tale: The impact of genetic restoration on Florida panther population dynamics and persistence,Hostetler2013608,Read - Data available,2,
2009,Spoor density as a measure of true density of a known population of free-ranging wild cheetah in Botswana,Houser2009,Read - Data available,2,
1996,Estimating population growth of grizzly bears from the Flathead River drainage using computer simulations of reproduction and survival rates,Hovey19961409,Read - Data available,2,
2007,Going into the 21st century: A perspective on trends and controversies in the management of the American black bear,Hristienko200772,Read - Data available,2,
2002,Causes of wolf mortality in Croatia in the period 1986-2001,Huber2002131,Read - Data available,2,
2007,"Restoring lions Panthera leo to northern KwaZulu-Natal, South Africa: Short-term biological and technical success but equivocal long-term conservation",Hunter2007196,Read - Data available,2,
2005,"Grizzly bear demographics in and around Banff National Park and Kananaskis Country, Alberta",ISI000228650600026,Read - Data available,2,
2009,"Demography and population viability of polar bears in the Gulf of Boothia, Nunavut",ISI000271046600002,Read - Data available,2,
2010,Historical dynamics of a declining wolf population: Persecution vs. prey reduction,ISI000275748100007,Read - Data available,2,Harvest data only
2014,Estimating the population size of the endangered Cantabrian brown bear through genetic sampling,ISI000346127300007,Read - Data available,2,
2015,Back-calculation of large carnivore populations in Finland in 1865-1915,ISI000365645600003,Read - Data available,2,
2016,"Spotted hyaena survival and density in a lion depleted ecosystem: The effects of prey availability, humans and competition between large carnivores in African savannahs",ISI000384782800041,Read - Data available,2,
2017,Components of population growth for Arctic foxes at a large Arctic goose colony: the relative contributions of adult survival and recruitment,ISI000410136500006,Read - Data available,2,
1992,Characteristics of a Hunted Population of Cougars in Southwestern Alberta,ISIA1992JE90400001,Read - Data available,2,
1994,Trends in California Mountain Lion Populations,ISIA1994NC46600011,Read - Data available,2,
1994,Gray Wolf (Canis lupus) Occurences in the Dakotas,ISIA1994NZ32700008,Read - Data available,2,
1996,"Population dynamics (1869-1994), demography, and home ranges of the lynx in Bialowieza Primeval Forest (Poland and Belarus)",ISIA1996UX47700004,Read - Data available,2,
2013,"Distribution and abundance of lions in northwest Tete Province, Mozambique",Jacobson201387,Read - Data available,2,
2008,"Carnivores, even-toed ungulates, lagomorphs and large rodents in Polish national parks",Jamrozy2008299,Read - Data available,2,
2012,"Rise and fall of a wolf population: Genetic diversity and structure during recovery, rapid expansion and drastic decline",Jansson20125178,Read - Data available,2,
2014,Living on the edge: Reconstructing the genetic history of the Finnish wolf population,Jansson2014,Read - Data available,2,Genetic
2008,Fifty years of brown bear population expansion: Effects of sex-biased dispersal on rate of expansion and population structure,Jerina20081491,Read - Data available,2,
2015,Multiple estimates of effective population size for monitoring a long-lived vertebrate: An application to Yellowstone grizzly bears,Kamath20155507,Read - Data available,2,
2015,Evidence of a large carnivore population recovery: Counting bears in Greece,Karamanlidis201510,Read - Data available,2,
2007,Effects of coyote population reduction on swift fox demographics in southeastern Colorado,Karki20072707,Read - Data available,2,
2014,Black bear population reduction and recovery in western interior alaska,Keech201471,Read - Data available,2,
2000,Viability of the Serengeti cheetah population,Kelly2000786,Read - Data available,2,
2011,The German wildlife information system (WILD): Population densities and den use of red foxes (Vulpes vulpes) and badgers (Meles meles) during 2003-2007 in Germany,Keuling201195,Read - Data available,2,
2004,Top-down population regulation of a top predator: Lions in the Ngorongoro Crater,Kissui20041867,Read - Data available,2,
1990,Ecology of bobcats relative to exploitation and a prey decline in southeastern Idaho,Knick1990,Read - Data available,2,
1987,Propects for Yellowstone grizzly bears,Knight1987,Read - Data available,2,
2014,Cougar population status and range expansion in alberta during 1991-2010,Knopff2014116,Read - Data available,2,
2006,Recent trends and harvest in Finland's brown bear population,Kojola2006159,Read - Data available,2,
2006,The structure of the expanded brown bear population at the edge of the Finnish range,Kojola2006258,Read - Data available,2,
2017,Modeling the relationship between wolf control and cattle depredation,Kompaniyets2017,Read - Data available,2,Response (but published data)
2017,Genetic substructure and admixture as important factors in linkage disequilibrium-based estimation of effective number of breeders in recovering wildlife populations,Kopatz201710721,Read - Data available,2,
2006,"Reproduction and survival of brown bears in southwest Alaska, USA",Kovach2006,Read - Data available,2,
2017,Golden jackal expansion in Europe: A case of mesopredator release triggered by continent-wide wolf persecution?,Krofel2017,Read - Data available,2,
2017,The current distribution and status of leopards Panthera pardus in China,Laguardia2017153,Read - Data available,2,
2014,"Demography of lions (Panthera leo) in Tarangire National Park, Tanzania",Laizer2014503,Read - Data available,2,
2006,Cougar population dynamics and viability in the Pacific Northwest,Lambert2006246,Read - Data available,2,
2000,Status and conservation of the gray wolf (Canis lupus) in wildlife reserves of Quebec,Lariviere2000143,Read - Data available,2,
2011,Invading white-tailed deer change wolf-caribou dynamics in northeastern Alberta,Latham2011204,Read - Data available,2,
2007,Numerical and demographic responses of pumas to changes in prey abundance: Testing current predictions,Laundre2007345,Read - Data available,2,
2009,Understanding fluctuations in bobcat harvest at the northern limit of their range,Lavoie2009870,Read - Data available,2,
2015,Compensatory immigration challenges predator control: An experimental evidence-based approach improves management,Lieury2015425,Read - Data available,2,
1999,Use of dens by red Vulpes vulpes and arctic Alopex lagopus foxes in alpine environments: Can inter-specific competition explain the non-recovery of Norwegian arctic fox populations?,Linnell1999167,Read - Data available,2,
2010,Sustainably harvesting a large carnivore? Development of eurasian lynx populations in Norway during 160 years of shifting policy,Linnell20101142,Read - Data available,2,
1989,Bobcat-coyote niche relationships during a period of coyote population increase,Litvaitis19891180,Read - Data available,2,
2001,Desert Puma: evolutionary ecology and conservation of an enduring carnivore,Logan2001,Read - Data available,2,
2013,Monitoring European wildcat Felis silvestris populations using scat surveys in central Spain: Are population trends related to wild rabbit dynamics or to landscape features?,Lozano2013,Read - Data available,2,
2014,The Population Trajectories Both of the Wild Rabbit (Oryctolagus cuniculus) and the Iberian Lynx (Lynx pardinus) in Spain: Implications for Conservation,Lozano2014105,Read - Data available,2,
2017,Sumatran tiger survival threatened by deforestation despite increasing densities in parks,Luskin2017,Read - Data available,2,
1998,"Demography and population trend of grizzly bears in the Swan Mountains, Montana",Mace19981005,Read - Data available,2,
2012,"Grizzly bear population vital rates and trend in the Northern Continental Divide Ecosystem, Montana",Mace2012119,Read - Data available,2,
2006,"Trends, dynamics and resilience of an Ethiopian wolf population",Marino2006,Read - Data available,2,
2016,Compensatory responses by a fox population to artificial density reduction in a rangeland area in Western Australia,Marlow2016,Read - Data available,2,Invasive
2009,"Abundance, social organization, and population trend of the arctic wolf in north and east greenland during 1978-1998",MarquardPetersen2009895,Read - Data available,2,
2012,"Decline and extermination of an arctic wolf population in East Greenland, 1899 - 1939",MarquardPetersen2012155,Read - Data available,2,
2010,Predicting spatio-temporal recolonization of large carnivore populations and livestock depredation risk: Wolves in the Italian Alps,Marucco2010789,Read - Data available,2,
2012,Evaluating the efficacy of non-invasive genetic methods and estimating wolf survival during a ten-year period,Marucco20121611,Read - Data available,2,
2006,Evaluation of factors potentially influencing a desert bighorn sheep population,McKinney20061,Read - Data available,2,
2015,Some mechanisms underlying variation in vital rates of grizzly bears on a multiple use landscape,McLellan2015749,Read - Data available,2,
1993,Canine parvovirus effect on wolf population change and pup survival.,Mech1993330,Read - Data available,2,
2005,Decline and recovery of a High Arctic wolf-prey system,Mech2005305,Read - Data available,2,
2018,An historical overview and update of wolf-moose interactions in northeastern Minnesota,Mech2018,Read - Data available,2,
2002,Density dependent matrix model for gray wolf population projection,Miller2002271,Read - Data available,2,
1995,Notes on wild dog Lycaon pictus and lion Panthera leo population trends during a drought in the Kruger National Park,Mills199595,Read - Data available,2,
2008,"Estimation of successful breeding pairs for wolves in the Northern Rocky Mountains, USA",Mitchell2008881,Read - Data available,2,
2009,Contributions of vital rates to growth of a protected population of American black bears,Mitchell200977,Read - Data available,2,
2001,Population trends of reintroduced Canadian swift foxes Vulpes velox and future conservation priorities,Moehrenschlager200197,Read - Data available,2,
2016,Monitoring coyote population dynamics with fecal DNA and spatial capture–recapture,Morin2016,Read - Data available,2,
2011,The use of poison baits to control feral cats and red foxes in arid South Australia I. Aerial baiting trials,Moseby2011338,Read - Data available,2,Invasive
2015,Rapid growth and genetic diversity retention in an isolated reintroduced black bear population in the central appalachians,Murphy2015807,Read - Data available,2,
2016,Characterizing recolonization by a reintroduced bear population using genetic spatial capture–recapture,Murphy20161390,Read - Data available,2,
2015,The Challenges of Red Wolf Conservation and the Fate of an Endangered Species Recovery Program,Murray2015338,Read - Data available,2,
2008,"Pragmatic management increases a flagship species, the Himalayan brown bears, in Pakistan's Deosai National Park",Nawaz20082230,Read - Data available,2,
2016,"Wolf recovery and population dynamics in Western Poland, 2001–2012",Nowak201683,Read - Data available,2,
2014,"Estimating population sizes of lions Panthera leo and spotted hyaenas Crocuta crocuta in Uganda's savannah parks, using lure count methods",Omoya2014394,Read - Data available,2,
2005,Conservation biology: Lion attacks on humans in Tanzania,Packer2005927,Read - Data available,2,
2011,Effects of trophy hunting on lion and leopard populations in Tanzania [Efectos de la Cacería Deportiva sobre Poblaciones de Leones y Leopardos en Tanzania],Packer2011142,Read - Data available,2,Data already captured - only Katavi lion population extracted
2006,The effect of experimental removal of red foxes Vulpes vulpes on spring density of brown hares Lepus europaeus in western Poland,Panek2006187,Read - Data available,2,
2017,"Vole fluctuations, red fox responses, predation on fawns, and roe deer dynamics in a temperate latitude",Panek2017341,Read - Data available,2,
1999,Demography of the Yellowstone grizzly bears,Pease1999957,Read - Data available,2,
2012,A robust-design analysis to estimate American black bear population parameters in Utah,Pederson2012104,Read - Data available,2,
1999,Modelling predator-prey interactions on a Northern Province game ranch,Peel199931,Read - Data available,2,
2006,Numerical and spatial responses of Geoefroy's cat (Oncifelis Geoffroyi) to prey decline in Argentina,Pereira20061132,Read - Data available,2,
1999,Wolf-moose interaction on Isle Royale: The end of natural regulation,Peterson199910,Read - Data available,2,
2012,Top-down versus bottom-up forcing: Evidence from mountain lions and mule deer,Pierce2012977,Read - Data available,2,
1997,Population dynamics of a recolonizing wolf population,Pletscher1997459,Read - Data available,2,
2016,Assessing biological realism of wildlife population estimates in data-poor systems,Popescu20161248,Read - Data available,2,
1996,Demographic analyses of a hunted black bear population with access to a refuge,Powell1996224,Read - Data available,2,
2014,Critical population status of the jaguar Panthera onca in the Argentine Chaco: Camera-trap surveys suggest recent collapse and imminent regional extinction,Quiroga2014141,Read - Data available,2,
1999,Tiger decline caused by the reduction of large ungulate prey: Evidence from a study of leopard diets in southern India,Ramakrishnan1999113,Read - Data available,2,
1998,"The commercial harvest of wildlife in Dornod Aimag, Mongolia",Reading199859,Read - Data available,2,Harvest data only
2010,"Spatial and temporal patterns of wolf harvest on registered traplines in Alberta, Canada",Robichaud2010635,Read - Data available,2,Harvest data only
2014,A test of the compensatory mortality hypothesis in mountain lions: A management experiment in West-Central Montana,Robinson2014791,Read - Data available,2,
2015,Linking resource selection and mortality modeling for population estimation of mountain lions in Montana,Robinson201511,Read - Data available,2,
2004,Patterns and causes of non-natural mortality in the Iberian lynx during a 40-year period of range contraction,Rodriguez2004151,Read - Data available,2,
1987,"Effects of food supply and kinship on social behavior, movements, and population growth of black bears in northeastern Minnesota.",Rogers1987,Read - Data available,2,
1985,Dynamics of a harvested bobcat population in Oklahoma.,Rolley1985283,Read - Data available,2,
2014,Detecting declines of apex carnivores and evaluating their causes: An example with Zambian lions,Rosenblatt2014,Read - Data available,2,
2016,Endangered leopards: Range collapse of the Indochinese leopard (Panthera pardus delacouri) in Southeast Asia,RostroGarcia2016293,Read - Data available,2,
1998,Interpreting carnivore scent-station surveys,Sargeant19981235,Read - Data available,2,
2012,Estimating grizzly and black bear population abundance and trend in Banff National Park using noninvasive genetic sampling,Sawaya2012,Read - Data available,2,
2002,An evaluation of survey methods for monitoring swift fox abundance,Schauster2002464,Read - Data available,2,
2017,Effects of control on the dynamics of an adjacent protected wolf population in interior Alaska,Schmidt20171,Read - Data available,2,
2006,"Temporal, spatial, and environmental influences on the demographics of grizzly bears in the greater yellowstone ecosystem",Schwartz20061,Read - Data available,2,
2007,"Human alveolar echinococcosis after fox population increase, Switzerland",Schweiger2007878,Read - Data available,2,Harvest data only
2007,"Litter size, sex ratio, and age structure of gray wolves, Canis lupus, in relation to population fluctuations in northern Belarus",Sidorovich2007295,Read - Data available,2,
2013,Genetic data confirm critical status of the reintroduced Dinaric population of Eurasian lynx,Sindicic20131009,Read - Data available,2,
2011,A conservation success story in the otherwise dire megafauna extinction crisis: The Asiatic lion (Panthera leo persica) of Gir forest,Singh20111753,Read - Data available,2,Data already captured
1995,A track count for estimating mountain lion Felis concolor californica population trend,Smallwood1995251,Read - Data available,2,
2009,"Reintroduction of Wolves to Yellowstone National Park: History, Values and Ecosystem Restoration",Smith200992,Read - Data available,2,
2009,Carnivore population trends in Spanish agrosystems after the reduction in food availability due to rabbit decline by rabbit haemorrhagic disease and improved waste management,Sobrino2009,Read - Data available,2,
2008,Dynamics of a small re-introduced population of wild dogs over 25 years: Allee effects and the implications of sociality for endangered species' recovery,Somers2008239,Read - Data available,2,
2011,Social and demographic effects of Anthropogenic mortality: A test of the compensatory mortality hypothesis in the red wolf,Sparkman2011,Read - Data available,2,
2006,Collaborating to conserve large mammals in Southeast Asia,Steinmetz20061391,Read - Data available,2,
2015,Are the numbers adding up? Exploiting discrepancies among complementary population models,Stenglein2015368,Read - Data available,2,
2016,Demographic and component allee effects in southern lake superior gray wolves,Stenglein2016,Read - Data available,2,
2017,Distribution of grey wolves Canis lupus lupus in the Nepalese Himalaya: Implications for conservation management,Subba2017403,Read - Data available,2,
2017,Poaching regulates the legally hunted wolf population in Finland,Suutarinen201711,Read - Data available,2,
2009,Expansion range of the golden jackal in Hungary between 1997 and 2006,Szabo2009307,Read - Data available,2,
2005,Demography and viability of a hunted population of polar bears,Taylor2005203,Read - Data available,2,
2006,"Demographic parameters and harvest-explicit population viability analysis for polar bears in M'Clintock Channel, Nunavut, Canada",Taylor20061667,Read - Data available,2,
2014,Contrasting past and current numbers of bears visiting Yellowstone cutthroat trout streams,Teisberg2014369,Read - Data available,2,
2016,Evaluating mortality rates with a novel integrated framework for nonmonogamous species,Tenan20161307,Read - Data available,2,
2006,"Pitfalls of applying adaptive management to a wolf population in Algonquin Provincial Park, Ontario",Theberge2006451,Read - Data available,2,
1989,Use of track transects to measure the relative occurrence of some boreal mammals in uncut forest and regeneration stands,Thompson19891816,Read - Data available,2,
1997,The decline and impending extinction of the South China tiger,Tilson1997243,Read - Data available,2,
2009,A suspected canine distemper epidemic as the cause of a catastrophic decline in Santa Catalina Island foxes (UROCYON littoraus cataunae),Timm2009333,Read - Data available,2,
1983,"Coyote demography during a snowshoe hare decline in Alberta ( Canis latrans, Lepus americanus).",Tood1983394,Read - Data available,2,
2015,Brown bear reintroduction in the Southern Alps: To what extent are expectations being met?,Tosi20159,Read - Data available,2,
2017,"Counts of unique females with cubs in the Apennine brown bear population, 2006-2014",Tosoni20171,Read - Data available,2,
2008,Experimental evidence of competitive release in sympatric carnivores,Trewby2008170,Read - Data available,2,
2010,"Inbreeding and density-dependent population growth in a small, isolated lion population",Trinkel2010374,Read - Data available,2,
2013,"Climate variability, human wildlife conflict and population dynamics of lions Panthera leo",Trinkel2013345,Read - Data available,2,
2010,"Threat of rapid extermination of the lion (Panthera leo leo) in Waza National Park, Northern Cameroon",Tumenta2010888,Read - Data available,2,
2013,History and current status of the black bear in Kentucky,Unger2013289,Read - Data available,2,
2001,"Distribution and status of lynx in the border region between Czech Republic, Germany and Austria",VanAlstvne2001181,Read - Data available,2,
2006,Reintroduction of the lynx into the Vosges mountain massif: From animal survival and movements to population development,Vandel2006370,Read - Data available,2,
2017,Carnivore conservation under land use change: the status of Zimbabwe's cheetah population after land reform,vanderMeer20171,Read - Data available,2,
2004,"Demographics and population trends of grizzly bears in the Cabinet-Yaak and Selkirk ecosystems of British Columbia, Idaho, Montana, and Washington",Wakkinen200465,Read - Data available,2,
2016,"Brown hyaena population explosion: Rapid population growth in a small, fenced system",Welch2016178,Read - Data available,2,
2005,Northern Yellowstone elk after wolf restoration,White2005942,Read - Data available,2,
1994,"Dynamics of a small, hunted brown bear Ursus arctos population in Southwestern Alberta, Canada",Wielgus1994161,Read - Data available,2,
1995,Demography of a high-density coyote population,Windberg1995942,Read - Data available,2,
2013,Quantifying changes in sun bear distribution and their forest habitat in Sumatra,Wong2013216,Read - Data available,2,Occupancy
2005,Lethal control of African lions (Panthera leo): Local and regional population impacts,Woodroffe200591,Read - Data available,2,
2009,"History, Population Growth, and Management of Wolves in Wisconsin",Wydeven200987,Read - Data available,2,
